일련번호,조사서번호,사망자수,부상자수,인명피해수,재산피해금액,상급기관명,소방서명,서센터명,소방지역대명,화재발생일자,화재발생시간,접수일자,접수시각,위치정보X,위치정보Y,출동일자,출동시각,현장도착일자,현장도착시각,초진일자,초진시각,완진일자,완진시간,귀소일자,귀소시각,출동소요시간,화재진압시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,시도명,시군구명,읍면동명,읍면동구분명,번지,도로명,시설장소대분류명,시설장소중분류명,시설장소소분류명,화재유형명,발화지점,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,최초착화물소분류명,연소확대물대분류명,연소확대물소분류명,발생원인,전체인력수합계,동원소방력수,동원의용소방력수,동원경찰수,동원일반직수,동원군인수,동원전기가스유관기관수,기타동원명수,동원장비수,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용
1,1.10123E+14,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110122,233500,20110122,233511,,,20110122,233615,20110122,235315,20110123,121115,20110123,1115,20110123,20515,1700,1800,9,9,0,강원도,강릉시,죽헌동,,108-41,,임야,산불,사유림,임야,산정상,기타,담뱃불/라이터불,라이터불/성냥불,방화의심,방화의심,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,원거리소방서/현장진입지연(불법주차)/화재인지/신고지연,37,19,0,0,18,0,0,0,8,맑음,-1,30,45,8,
2,1.10201E+14,0,0,0,184330,강원소방본부,양양소방서,하조대119안전센터,,20110131,181300,20110131,181311,,,20110131,181409,20110131,183024,20110201,94538,20110201,103016,20110201,114552,1615,155952,43,13,0,강원도,양양군,현남면,상월천리,289,,임야,산불,사유림,임야,산아래,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,기타,기타,기상(건조/강풍등),1872,270,335,10,700,0,8,549,71,맑음,1,10,225,8,건조경보
3,1.10202E+14,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110201,210700,20110201,210710,,,20110201,210826,20110201,211500,20110201,102300,20110201,223800,20110201,233000,634,12300,7,6,0,강원도,강릉시,대전동,,147-3,,임야,산불,사유림,임야,산정상,기타,기타,기타,방화의심,방화의심,종이/목재/건초등,잔디,,,,184,17,7,50,110,0,0,0,15,맑음,1,550,135,4,
4,1.10211E+14,0,0,0,4864,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20110211,175000,20110211,175032,,,20110211,175220,20110211,181500,20110211,74100,20110211,202000,20110211,214955,2240,20500,37,37,7,강원도,홍천군,내촌면,물걸리,5,,임야,산불,국유림,임야,산중턱,입산자실화,기타,기타,기타,기타,종이/목재/건초등,풀/나뭇잎,,,,171,8,87,10,33,0,33,0,9,구름많음,-2,29,225,4,
5,1.10212E+14,0,0,0,50,강원소방본부,원주소방서,흥업119안전센터,귀래119지역대,20110212,61800,20110212,61836,,,20110212,62010,20110212,64029,20110212,82038,20110212,103038,20110212,111838,2019,35009,20,20,8,강원도,원주시,귀래면,귀래리,1894-3,,임야,산불,사유림,임야,산중턱,모닥불,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,화재인지/신고지연,94,11,26,4,0,0,38,15,9,구름많음,-6,44,225,4,
6,1.10226E+14,0,0,0,440,강원소방본부,원주소방서,태장119안전센터,,20110226,164200,20110226,164234,,,20110226,164353,20110226,164901,20110226,52601,20110226,172726,20110226,183011,508,3825,8,2,0,강원도,원주시,태장동,,363-33,,임야,산불,사유림,임야,산정상,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,기상(건조/강풍등),46,10,0,0,0,0,36,0,8,맑음,14,23,180,4,
7,1.10309E+14,0,0,0,600,강원소방본부,영월소방서,영월119안전센터,,20110309,131800,20110309,131855,,,20110309,131916,20110309,132916,20110309,50016,20110309,200016,20110310,83947,1000,63100,9,9,8,강원도,영월군,영월읍,정양리,,,임야,산불,국유림,임야,산아래,기타,불꽃/불티,불꽃/불티,부주의,부주의,침구/직물류,침구/직물류,,,,204,17,41,5,45,0,67,29,26,맑음,1,19,225,8,
8,1.10311E+14,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,,20110311,134200,20110311,134249,,,20110311,134334,20110311,140409,20110311,21746,20110311,151737,20110311,162000,2035,11328,17,10,0,강원도,횡성군,우천면,정금리,21,,임야,산불,사유림,임야,산정상,입산자실화,미상,미상,부주의,부주의,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,나무,가연성물질의급격한연소/기상(건조/강풍등)/원거리소방서,214,10,15,5,110,0,0,74,10,맑음,5,43,225,4,
9,1.10315E+14,0,0,0,64,강원소방본부,영월소방서,영월119안전센터,,20110314,193500,20110314,193519,,,20110314,193540,20110314,195222,20110314,90022,20110314,230622,20110314,234022,1642,31400,9,9,7,강원도,영월군,영월읍,정양리,80,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,미상,미상,,,,116,11,33,4,68,0,0,0,5,맑음,4,67,45,4,
10,1.10318E+14,0,0,0,3264,강원소방본부,홍천소방서,홍천119안전센터,,20110318,115800,20110318,115807,,,20110318,115900,20110318,120327,20110318,123300,20110318,124800,20110318,134453,427,4433,6,6,0,강원도,홍천군,홍천읍,연봉리,,,임야,산불,사유림,임야,산정상,입산자실화,기타,기타,기타,기타,종이/목재/건초등,풀/나뭇잎,종이/목재/건초등,풀/나뭇잎,가연성물질의급격한연소,88,16,21,4,22,0,10,15,15,맑음,9,21,315,4,
