기준년월,	HSK품목코드,	수출입구분코드,	수산물수출입품목명,	수출입구분명,	당월수출입중량(킬로그램),	당월수출입미화금액(달러),	당해누계수출입중량(킬로그램),	당해누계수출입미화금액(달러),	데이터기준일자	
"2022-04","0106903010","E","갯지렁이","수출","144","11172","144","11172","2022-04-30"
"2022-04","0301992000","E","방어(활어)","수출","0","0","251263","2288713","2022-04-30"
"2022-04","0301994091","E","돔(기타/ 참돔)","수출","32","1927","52","2282","2022-04-30"
"2022-04","0301994099","E","돔(기타/ 기타)","수출","0","0","266","2845","2022-04-30"
"2022-04","0301995000","E","붕장어(활어)","수출","91437","1041741","389475","4346207","2022-04-30"
"2022-04","0301996000","E","갯장어(sharp toothed eel/활어)","수출","100","4068","100","4068","2022-04-30"
"2022-04","0301998000","E","넙치(활어)","수출","165062","3123952","613052","12291086","2022-04-30"
"2022-04","0301999020","E","복어(활어)","수출","0","0","237","8277","2022-04-30"
"2022-04","0301999040","E","볼락(적어포함/활어)","수출","160","5114","593","16329","2022-04-30"
"2022-04","0301999059","E","농어(기타)","수출","16","474","16","474","2022-04-30"
"2022-04","0301999060","E","숭어(활어)","수출","20","233","153","1582","2022-04-30"
"2022-04","0301999070","E","미꾸라지(활어)","수출","401","7748","2137","41501","2022-04-30"
"2022-04","0301999099","E","기타어류(활어)","수출","3707","148357","9094","354909","2022-04-30"
"2022-04","0302140000","E","대서양 연어(신선 또는 냉장)(살모 살라) 및 다뉴브 연어(후코 후코)","수출","1160","41726","3360","103810","2022-04-30"
"2022-04","0302210000","E","넙치(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)","수출","10025","222170","44807","970446","2022-04-30"
"2022-04","0302220000","E","가자미(간장/ 어란제외/신선/ 냉장/피레트/어육제외)","수출","0","0","2999","4770","2022-04-30"
"2022-04","0302240000","E","터벗(신선 또는 냉장)(프세타 맥시마)","수출","3191","129200","3794","149081","2022-04-30"
"2022-04","0302290000","E","기타 넙치류(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)","수출","15774","131002","97504","572714","2022-04-30"
"2022-04","0302352000","E","태평양 참다랑어(신선 또는 냉장)(터너스 오리엔탈리스)","수출","0","0","18248","92445","2022-04-30"
"2022-04","0302360000","E","남방참다랑어(터너스 맥코이/신선/냉장)","수출","0","0","178978","718763","2022-04-30"
"2022-04","0302390000","E","기타(신선/냉장)","수출","0","0","182159","861462","2022-04-30"
"2022-04","0302410000","E","청어(신선 또는 냉장)(클루페아 하렌구스/클루페아 팔라시)","수출","2850","2059","32329","22824","2022-04-30"
"2022-04","0302420000","E","멸치(신선 또는 냉장)(엔그라울리스종)","수출","0","0","113","1793","2022-04-30"
"2022-04","0302440000","E","고등어(신선 또는 냉장)(스콤버-스콤브루스/오스트랄시쿠스/자포니쿠스))","수출","0","0","7854","48142","2022-04-30"
"2022-04","0302491000","E","삼치[스콤버로모러스(Scomberomorus)종]","수출","13969","75276","84546","498348","2022-04-30"
"2022-04","0302492000","E","병어[팜푸스(Pampus)종]","수출","23","431","106","2900","2022-04-30"
"2022-04","0302740000","E","뱀장어(신선 또는 냉장)(앵귈라종)","수출","0","0","9","82","2022-04-30"
"2022-04","0302790000","E","기타(신선 또는 냉장)(틸라피아/메기/잉어/뱀장어 외 기타)","수출","1","17","2","28","2022-04-30"
"2022-04","0302820000","E","가오리와 홍어(라지대과)(신선 또는 냉장)","수출","3","71","883","15563","2022-04-30"
"2022-04","0302840000","E","농어(냉동)(디센트라르쿠스종)","수출","0","0","16","563","2022-04-30"
"2022-04","0302850000","E","돔(신선 또는 냉장)(스파리대과)","수출","39","647","99","1533","2022-04-30"
"2022-04","0302891000","E","방어(신선 또는 냉장)","수출","692","3969","172799","372562","2022-04-30"
"2022-04","0302892000","E","갈치(신선 또는 냉장)","수출","21","403","10334","114031","2022-04-30"
"2022-04","0302893000","E","붕장어(신선 또는 냉장)","수출","618","11823","4455","68294","2022-04-30"
"2022-04","0302895000","E","꽁치(신선 또는 냉장)(학꽁치를 포함한다)","수출","6558","50012","36607","258230","2022-04-30"
"2022-04","0302896000","E","돔(신선 또는 냉장)(스파리대과를 제외한다)","수출","5760","13314","22707","70800","2022-04-30"
"2022-04","0302899020","E","복어(신선 또는 냉장)","수출","0","0","362","8111","2022-04-30"
"2022-04","0302899040","E","아귀(신선 또는 냉장)","수출","97","213","201732","667129","2022-04-30"
"2022-04","0302899090","E","기타(신선 또는 냉장)(삼치/복어/병어/아귀 외 기타)","수출","59918","1028790","278462","5232407","2022-04-30"
"2022-04","0302911000","E","간","수출","0","0","210","721","2022-04-30"
"2022-04","0302912000","E","어란(魚卵)ㆍ어백(魚白)","수출","0","0","10000","230015","2022-04-30"
"2022-04","0303110000","E","소크아이 연어(홍연어/옹코링쿠스 넬카)","수출","0","0","329181","2870570","2022-04-30"
"2022-04","0303120000","E","그 밖의 태평양 연어(옹코링쿠스 고르부스카/옹코링쿠스 케타/옹코링쿠스 차비차/옹코링쿠스 키수츠/옹코링쿠스 마소/옹코링쿠스 로두루스)","수출","7107799","18054018","20643583","48711211","2022-04-30"
"2022-04","0303130000","E","대서양연어(냉동)(살모 살라)와 다뉴브연어(후코 후코)","수출","975","1098","975","1098","2022-04-30"
"2022-04","0303140000","E","송어(살모 트루타/옹코링쿠스-미키스/클라키/아구아보니타/길래/아파케/크리소가스터)","수출","0","0","12","334","2022-04-30"
"2022-04","0303260000","E","뱀장어(냉동)(앵귈라종)","수출","0","0","148","2364","2022-04-30"
"2022-04","0303290000","E","연어(송어/ 대서양연어 등 이외 기타/냉동/피레트/ 어육제외)","수출","587","22185","21635","105830","2022-04-30"
"2022-04","0303310000","E","넙치[레인하드티우스 히포글러소이데스/히포글러서스 히포글러서스/히포글러서스 스테노레피스)","수출","20","734","251437","2179057","2022-04-30"
"2022-04","0303320000","E","가자미(플루로넥테스 플라테사)","수출","1005","12742","41600","54133","2022-04-30"
"2022-04","0303330000","E","서대(간장/ 어란제외/냉동/피레트/ 어육제외)","수출","2529","24255","9014","45667","2022-04-30"
"2022-04","0303391000","E","기타넙치류(냉동)","수출","61672","84991","330246","557361","2022-04-30"
"2022-04","0303399000","E","기타넙치류(냉동)","수출","23954","87963","121068","305662","2022-04-30"
"2022-04","0303410000","E","날개다랑어 또는 긴지느러미다랑어(터너스알라룽가/냉동)","수출","47696","141175","207441","668758","2022-04-30"
"2022-04","0303420000","E","황다랑어(터너스 알바카레스/냉동)","수출","5278028","12764323","17377011","41984171","2022-04-30"
